trait	role	n_classes	n_obs	class_counts_json
CUDI_CODE_REPRO	train	2	1480	"{""0"": 530, ""1"": 950}"
CUDI_CODE_REPRO	val	2	316	"{""0"": 96, ""1"": 220}"
CUDI_CODE_REPRO	test	2	315	"{""0"": 112, ""1"": 203}"
CULT_CODE_REPRO	train	7	1468	"{""0"": 14, ""1"": 100, ""2"": 173, ""3"": 308, ""4"": 373, ""5"": 361, ""6"": 139}"
CULT_CODE_REPRO	val	7	314	"{""0"": 4, ""1"": 24, ""2"": 29, ""3"": 58, ""4"": 94, ""5"": 69, ""6"": 36}"
CULT_CODE_REPRO	test	7	312	"{""0"": 4, ""1"": 28, ""2"": 29, ""3"": 66, ""4"": 81, ""5"": 66, ""6"": 38}"
CUNO_CODE_REPRO	train	3	1468	"{""0"": 81, ""1"": 1143, ""2"": 244}"
CUNO_CODE_REPRO	val	3	314	"{""0"": 19, ""1"": 240, ""2"": 55}"
CUNO_CODE_REPRO	test	3	313	"{""0"": 13, ""1"": 233, ""2"": 67}"
LLT_CODE	train	5	1468	"{""0"": 2, ""1"": 189, ""2"": 781, ""3"": 481, ""4"": 15}"
LLT_CODE	val	5	314	"{""0"": 1, ""1"": 38, ""2"": 161, ""3"": 110, ""4"": 4}"
LLT_CODE	test	5	313	"{""0"": 1, ""1"": 43, ""2"": 159, ""3"": 103, ""4"": 7}"
PLT_CODE_POST	train	4	1464	"{""0"": 0, ""1"": 168, ""2"": 1174, ""3"": 122}"
PLT_CODE_POST	val	4	315	"{""0"": 0, ""1"": 33, ""2"": 260, ""3"": 22}"
PLT_CODE_POST	test	4	311	"{""0"": 1, ""1"": 36, ""2"": 248, ""3"": 26}"
SDHT_CODE	train	3	1465	"{""0"": 304, ""1"": 1081, ""2"": 80}"
SDHT_CODE	val	3	315	"{""0"": 68, ""1"": 225, ""2"": 22}"
SDHT_CODE	test	3	313	"{""0"": 67, ""1"": 230, ""2"": 16}"
PTH	train	3	1583	"{""0"": 266, ""1"": 677, ""2"": 640}"
PTH	val	3	340	"{""0"": 35, ""1"": 149, ""2"": 156}"
PTH	test	3	339	"{""0"": 47, ""1"": 144, ""2"": 148}"
SPKF	train	5	1584	"{""0"": 1, ""1"": 28, ""2"": 199, ""3"": 1144, ""4"": 212}"
SPKF	val	5	340	"{""0"": 0, ""1"": 10, ""2"": 59, ""3"": 218, ""4"": 53}"
SPKF	test	5	340	"{""0"": 0, ""1"": 4, ""2"": 42, ""3"": 241, ""4"": 53}"
CUST_REPRO	train	8	1584	"{""0"": 470, ""1"": 4, ""2"": 460, ""3"": 10, ""4"": 149, ""5"": 2, ""6"": 261, ""7"": 228}"
CUST_REPRO	val	8	340	"{""0"": 95, ""1"": 0, ""2"": 103, ""3"": 2, ""4"": 41, ""5"": 0, ""6"": 42, ""7"": 57}"
CUST_REPRO	test	8	340	"{""0"": 99, ""1"": 0, ""2"": 111, ""3"": 2, ""4"": 25, ""5"": 0, ""6"": 56, ""7"": 47}"
PSH	train	3	1062	"{""0"": 914, ""1"": 118, ""2"": 30}"
PSH	val	3	238	"{""0"": 204, ""1"": 29, ""2"": 5}"
PSH	test	3	226	"{""0"": 188, ""1"": 33, ""2"": 5}"
