method	trait	n_classes	eval_n	macro_f1	macro_f1_sd	accuracy	accuracy_sd	mae	mae_sd	best_macro_f1_for_trait
RiceGeneFormer + distill w=0.10	CUDI_CODE_REPRO	2	315	0.6390679399288441	0.018962761369379667	0.6867724867724867	0.007331431989709507	0.31322751322751324	0.007331431989709507	False
LightGBM top512	CUDI_CODE_REPRO	2	315	0.6346391289707037	0.0	0.7047619047619048	0.0	0.29523809523809524	0.0	False
XGBoost top512	CUDI_CODE_REPRO	2	315	0.6213554987212276	0.0	0.7015873015873015	0.0	0.2984126984126984	0.0	False
SNP-MLP top512 alpha0.40	CUDI_CODE_REPRO	2	315	0.6824044287246365	0.013165067784562251	0.728042328042328	0.013216926980737367	0.27195767195767195	0.013216926980737367	True
SNP-MLP top512 alpha0.60	CUDI_CODE_REPRO	2	315	0.6762389239925801	0.011788217041640825	0.7238095238095238	0.00839921051131613	0.2761904761904762	0.008399210511316162	False
RiceGeneFormer + distill w=0.10	CULT_CODE_REPRO	7	312	0.2181422663546656	0.02574911060724716	0.29914529914529914	0.02978068347172297	0.9700854700854702	0.040584230583808896	False
LightGBM top512	CULT_CODE_REPRO	7	312	0.23199331303640514	0.0	0.2980769230769231	0.0	0.9807692307692307	0.0	False
XGBoost top512	CULT_CODE_REPRO	7	312	0.21994291328920762	0.0	0.3141025641025641	0.0	0.9487179487179487	0.0	False
SNP-MLP top512 alpha0.40	CULT_CODE_REPRO	7	312	0.2593897019890432	0.05265002430150754	0.3311965811965812	0.02426883908461655	0.9508547008547008	0.026879798344891324	False
SNP-MLP top512 alpha0.60	CULT_CODE_REPRO	7	312	0.2640830763674484	0.010342392443270409	0.33226495726495725	0.0037009632640360814	0.9604700854700855	0.026104255818099643	True
RiceGeneFormer + distill w=0.10	CUNO_CODE_REPRO	3	313	0.29942974984572884	0.014773281303611555	0.731629392971246	0.005533708650379807	0.268370607028754	0.005533708650379808	False
LightGBM top512	CUNO_CODE_REPRO	3	313	0.35779864371413667	0.0	0.7507987220447284	0.0	0.24920127795527156	0.0	False
XGBoost top512	CUNO_CODE_REPRO	3	313	0.2844932844932845	0.0	0.744408945686901	0.0	0.25559105431309903	0.0	False
SNP-MLP top512 alpha0.40	CUNO_CODE_REPRO	3	313	0.382326708158457	0.07097514018385265	0.7497337593184239	0.012095651428754605	0.2566560170394036	0.012095651428754586	False
SNP-MLP top512 alpha0.60	CUNO_CODE_REPRO	3	313	0.46889042548609017	0.03697908647034736	0.6719914802981896	0.06400417125161542	0.3397231096911608	0.06565734884685136	True
RiceGeneFormer + distill w=0.10	CUST_REPRO	8	340	0.12952629966142928	0.0064235145489577785	0.20784313725490197	0.014803596931903435	2.152941176470588	0.017890478030288818	False
LightGBM top512	CUST_REPRO	8	340	0.19330816530662176	0.0	0.4117647058823529	0.0	2.114705882352941	0.0	True
XGBoost top512	CUST_REPRO	8	340	0.1681668431815121	0.0	0.4323529411764706	0.0	2.026470588235294	0.0	False
SNP-MLP top512 alpha0.40	CUST_REPRO	8	340	0.17514190622380682	0.012699335777038277	0.40490196078431373	0.025014413376809954	2.134313725490196	0.10540469601649581	False
SNP-MLP top512 alpha0.60	CUST_REPRO	8	340	0.1844283804859424	0.014511513440952846	0.3980392156862745	0.04162916420698461	2.177450980392157	0.18002146482295134	False
RiceGeneFormer + distill w=0.10	LLT_CODE	5	313	0.291051088011337	0.013255139871762482	0.5207667731629394	0.011067417300759615	0.5079872204472843	0.005533708650379807	False
LightGBM top512	LLT_CODE	5	313	0.2567545151791398	0.0	0.4952076677316294	0.0	0.5143769968051118	0.0	False
XGBoost top512	LLT_CODE	5	313	0.2109324801626506	0.0	0.5143769968051118	0.0	0.5079872204472844	0.0	False
SNP-MLP top512 alpha0.40	LLT_CODE	5	313	0.3153595833383983	0.006772184442180061	0.5250266240681576	0.008040292263334177	0.4984025559105431	0.015974440894568703	True
SNP-MLP top512 alpha0.60	LLT_CODE	5	313	0.30990142257695524	0.009107433605263076	0.5218317358892439	0.0036891391002532477	0.49946751863684774	0.008040292263334156	False
RiceGeneFormer + distill w=0.10	PLT_CODE_POST	4	311	0.3931247695635683	0.02450183239104609	0.8220793140407289	0.003712863467457363	0.18220793140407288	0.0049116566934146125	False
LightGBM top512	PLT_CODE_POST	4	311	0.36059645260318146	0.0	0.8263665594855305	0.0	0.17684887459807075	0.0	False
XGBoost top512	PLT_CODE_POST	4	311	0.3428308823529412	0.0	0.8263665594855305	0.0	0.17684887459807075	0.0	False
SNP-MLP top512 alpha0.40	PLT_CODE_POST	4	311	0.4843725211952367	0.007512486371486743	0.8295819935691319	0.009646302250803873	0.17363344051446947	0.00964630225080386	True
