trait,method,macro_f1,macro_f1_sd,accuracy,accuracy_sd,mae,mae_sd,n_classes,eval_n,best_macro_f1_for_trait,trait_short,macro_f1_plot
CUDI_CODE_REPRO,RiceGeneFormer + distill w=0.10,0.6390679399288441,0.01896276136937966,0.6867724867724867,0.0073314319897095,0.31322751322751324,0.0073314319897095,2,315,FALSE,CUDI,0.6390679399288441
CUDI_CODE_REPRO,LightGBM top512,0.6346391289707037,0,0.7047619047619048,0,0.29523809523809524,0,2,315,FALSE,CUDI,0.6346391289707037
CUDI_CODE_REPRO,XGBoost top512,0.6213554987212276,0,0.7015873015873015,0,0.2984126984126984,0,2,315,FALSE,CUDI,0.6213554987212276
CUDI_CODE_REPRO,SNP-MLP top512 alpha0.40,0.6824044287246365,0.01316506778456225,0.728042328042328,0.01321692698073736,0.27195767195767195,0.01321692698073736,2,315,TRUE,CUDI,0.6824044287246365
CUDI_CODE_REPRO,SNP-MLP top512 alpha0.60,0.6762389239925801,0.01178821704164082,0.7238095238095238,0.00839921051131613,0.2761904761904762,0.00839921051131616,2,315,FALSE,CUDI,0.6762389239925801
CULT_CODE_REPRO,RiceGeneFormer + distill w=0.10,0.2181422663546656,0.02574911060724716,0.29914529914529914,0.02978068347172297,0.9700854700854702,0.04058423058380889,7,312,FALSE,CULT,0.2181422663546656
CULT_CODE_REPRO,LightGBM top512,0.2319933130364051,0,0.2980769230769231,0,0.9807692307692308,0,7,312,FALSE,CULT,0.2319933130364051
CULT_CODE_REPRO,XGBoost top512,0.2199429132892076,0,0.3141025641025641,0,0.9487179487179488,0,7,312,FALSE,CULT,0.2199429132892076
CULT_CODE_REPRO,SNP-MLP top512 alpha0.40,0.2593897019890432,0.05265002430150754,0.3311965811965812,0.02426883908461655,0.9508547008547008,0.02687979834489132,7,312,FALSE,CULT,0.2593897019890432
CULT_CODE_REPRO,SNP-MLP top512 alpha0.60,0.2640830763674484,0.0103423924432704,0.33226495726495725,0.00370096326403608,0.9604700854700856,0.02610425581809964,7,312,TRUE,CULT,0.2640830763674484
CUNO_CODE_REPRO,RiceGeneFormer + distill w=0.10,0.29942974984572884,0.01477328130361155,0.731629392971246,0.0055337086503798,0.268370607028754,0.0055337086503798,3,313,FALSE,CUNO,0.29942974984572884
CUNO_CODE_REPRO,LightGBM top512,0.35779864371413667,0,0.7507987220447284,0,0.24920127795527156,0,3,313,FALSE,CUNO,0.35779864371413667
CUNO_CODE_REPRO,XGBoost top512,0.2844932844932845,0,0.744408945686901,0,0.25559105431309903,0,3,313,FALSE,CUNO,0.2844932844932845
CUNO_CODE_REPRO,SNP-MLP top512 alpha0.40,0.382326708158457,0.07097514018385265,0.7497337593184239,0.0120956514287546,0.2566560170394036,0.01209565142875458,3,313,FALSE,CUNO,0.382326708158457
CUNO_CODE_REPRO,SNP-MLP top512 alpha0.60,0.46889042548609017,0.03697908647034736,0.6719914802981896,0.06400417125161542,0.3397231096911608,0.06565734884685136,3,313,TRUE,CUNO,0.46889042548609017
CUST_REPRO,RiceGeneFormer + distill w=0.10,0.12952629966142928,0.00642351454895777,0.20784313725490197,0.01480359693190343,2.152941176470588,0.01789047803028881,8,340,FALSE,CUST,0.12952629966142928
CUST_REPRO,LightGBM top512,0.19330816530662176,0,0.4117647058823529,0,2.114705882352941,0,8,340,TRUE,CUST,0.19330816530662176
CUST_REPRO,XGBoost top512,0.1681668431815121,0,0.4323529411764706,0,2.026470588235294,0,8,340,FALSE,CUST,0.1681668431815121
CUST_REPRO,SNP-MLP top512 alpha0.40,0.17514190622380682,0.01269933577703827,0.4049019607843138,0.02501441337680995,2.134313725490196,0.1054046960164958,8,340,FALSE,CUST,0.17514190622380682
CUST_REPRO,SNP-MLP top512 alpha0.60,0.1844283804859424,0.01451151344095284,0.3980392156862745,0.04162916420698461,2.177450980392157,0.18002146482295134,8,340,FALSE,CUST,0.1844283804859424
LLT_CODE,RiceGeneFormer + distill w=0.10,0.291051088011337,0.01325513987176248,0.5207667731629394,0.01106741730075961,0.5079872204472843,0.0055337086503798,5,313,FALSE,LLT,0.291051088011337
LLT_CODE,LightGBM top512,0.2567545151791398,0,0.4952076677316294,0,0.5143769968051118,0,5,313,FALSE,LLT,0.2567545151791398
LLT_CODE,XGBoost top512,0.2109324801626506,0,0.5143769968051118,0,0.5079872204472844,0,5,313,FALSE,LLT,0.2109324801626506
