gene,audit,status
DEP1,visible_prefix,FALSE
DEP1,rank_le_200,FALSE
DTH8/Ghd8,visible_prefix,FALSE
DTH8/Ghd8,rank_le_200,FALSE
Ehd1,visible_prefix,FALSE
Ehd1,rank_le_200,FALSE
GS3,visible_prefix,FALSE
GS3,rank_le_200,FALSE
GW2,visible_prefix,FALSE
GW2,rank_le_200,FALSE
Ghd7,visible_prefix,FALSE
Ghd7,rank_le_200,FALSE
Gn1a,visible_prefix,TRUE
Gn1a,rank_le_200,TRUE
Hd1,visible_prefix,FALSE
Hd1,rank_le_200,FALSE
Hd3a,visible_prefix,FALSE
Hd3a,rank_le_200,FALSE
IPA1/SPL14,visible_prefix,FALSE
IPA1/SPL14,rank_le_200,FALSE
RFT1,visible_prefix,FALSE
RFT1,rank_le_200,FALSE
SD1,visible_prefix,FALSE
SD1,rank_le_200,FALSE
TAC1,visible_prefix,FALSE
TAC1,rank_le_200,FALSE
qSW5/GW5,visible_prefix,FALSE
qSW5/GW5,rank_le_200,FALSE
