trait	rank	gene_index	gene_id	gene_name	chromosome	start	end	n_snps	attention_mean	attention_sd	seed_ranks	rank_sd
CUDI_CODE_REPRO	1	471	gene:Os01g0161000	gene:Os01g0161000	1	3201220	3204252	1	0.003406473551876843	0.001666853277163882	1,1,1	0.0
CUDI_CODE_REPRO	2	953	gene:Os01g0229800	gene:Os01g0229800	1	7186356	7186820	1	0.0023179200555508337	0.0011289165705113755	2,20,3	10.115993936995679
CUDI_CODE_REPRO	3	2020	gene:Os01g0564950	gene:Os01g0564950	1	21603411	21604622	1	0.002204681203390161	0.0011755452932782795	3,51,2	28.00595174839329
CUDI_CODE_REPRO	4	1143	gene:Os01g0259900	SAD1L	1	8718704	8720961	2	0.002126811188645661	0.0009941987932216188	7,16,5	5.8594652770823155
CUDI_CODE_REPRO	5	2018	gene:Os01g0563700	gene:Os01g0563700	1	21444283	21449074	1	0.0021095253759995103	0.0010127567984803425	5,28,7	12.741009902410928
CUDI_CODE_REPRO	6	2019	gene:Os01g0563500	gene:Os01g0563500	1	21447489	21450077	1	0.0020910631865262985	0.0009932343723881123	6,29,9	12.503332889007368
CUDI_CODE_REPRO	7	480	gene:Os01g0163450	gene:Os01g0163450	1	3291241	3293494	4	0.002028481646751364	0.0008795840972029857	21,4,6	9.291573243177568
CUDI_CODE_REPRO	8	1517	gene:Os01g0336300	gene:Os01g0336300	1	13170797	13171929	3	0.0020070577932832143	0.0010223365702701557	11,57,8	27.465129406819354
CUDI_CODE_REPRO	9	468	gene:Os01g0160200	gene:Os01g0160200	1	3143601	3146812	1	0.0019849866706257067	0.000959709612878875	4,75,10	39.3742724800514
CUDI_CODE_REPRO	10	894	gene:Os01g0222900	gene:Os01g0222900	1	6715521	6716305	7	0.0019418880886708696	0.0009898056645389962	52,3,4	28.00595174839329
CUDI_CODE_REPRO	11	1924	gene:Os01g0543600	gene:Os01g0543600	1	20124194	20126848	3	0.001748785492964089	0.000591376792944516	9,14,22	6.557438524302
CUDI_CODE_REPRO	12	1584	gene:Os01g0353600	gene:Os01g0353600	1	14171226	14175788	3	0.0017442677247648437	0.0005523521041141392	14,10,17	3.511884584284246
CUDI_CODE_REPRO	13	1925	gene:Os01g0543800	gene:Os01g0543800	1	20124383	20126778	3	0.0017361330101266503	0.0005775551360435802	10,13,25	7.937253933193772
CUDI_CODE_REPRO	14	893	gene:Os01g0222800	gene:Os01g0222800	1	6713909	6714986	7	0.0017015108605846763	0.000766236376666266	69,5,11	35.345909711497505
CUDI_CODE_REPRO	15	709	gene:Os01g0195500	gene:Os01g0195500	1	5138518	5140925	4	0.0016679154359735548	0.0006509571822079353	12,59,24	24.419937209856485
CUDI_CODE_REPRO	16	1519	gene:Os01g0337180	gene:Os01g0337180	1	13198639	13199062	7	0.0016508664897022147	0.000715885967049545	15,101,16	49.36598018878993
CUDI_CODE_REPRO	17	1518	gene:Os01g0337160	gene:Os01g0337160	1	13198486	13199578	7	0.0016412952876028915	0.0007079110667596027	16,102,19	48.80915214724933
CUDI_CODE_REPRO	18	1666	gene:Os01g0373200	gene:Os01g0373200	1	15382985	15385243	1	0.0016377272938067715	0.0006386485173274233	13,63,26	25.942243542145693
CUDI_CODE_REPRO	19	1463	gene:Os01g0320700	gene:Os01g0320700	1	12214028	12214637	4	0.0015966948121786118	0.0007544917488477971	23,136,12	68.63672486358888
CUDI_CODE_REPRO	20	1641	gene:Os01g0368900	OsGRX4	1	15124631	15125396	1	0.0015890608386447032	0.0005280484992509943	17,31,30	7.810249675906654
CUDI_CODE_REPRO	21	1639	gene:Os01g0367500	gene:Os01g0367500	1	15027748	15032264	3	0.0015845792950131	0.0006068234783050233	29,43,15	14.0
CUDI_CODE_REPRO	22	1640	gene:Os01g0368700	gene:Os01g0368700	1	15118693	15119756	1	0.0015797290252521634	0.0005212376514684819	19,32,31	7.234178138070235
CUDI_CODE_REPRO	23	1706	gene:Os01g0386500	OsRNAG	1	16224955	16226730	2	0.001578032582377394	0.0005656387895963346	34,26,18	8.0
CUDI_CODE_REPRO	24	1707	gene:Os01g0386600	gene:Os01g0386600	1	16227573	16227890	2	0.0015696818009018898	0.0005515528126319299	33,25,20	6.557438524302
CUDI_CODE_REPRO	25	1050	gene:Os01g0243600	gene:Os01g0243600	1	7926858	7927564	2	0.001564574777148664	0.0005643167561901608	93,2,14	49.44019956809775
CUDI_CODE_REPRO	26	1585	gene:Os01g0353900	gene:Os01g0353900	1	14197332	14199513	1	0.0015424796535323064	0.0007202574034544454	8,157,46	77.42308010750628
CUDI_CODE_REPRO	27	2017	gene:Os01g0562400	OsFKBP57	1	21381884	21389642	3	0.0015151362555722396	0.0005652117685313186	18,88,35	36.51027252705737
CUDI_CODE_REPRO	28	1144	gene:Os01g0260000	gene:Os01g0260000	1	8733343	8734486	2	0.001514621350603799	0.0006368815119417554	71,17,13	32.39341496868358
CUDI_CODE_REPRO	29	1042	gene:Os01g0242600	OsNTMC2T6.1	1	7862065	7867775	1	0.0015116714251538117	0.0005520767344976191	20,83,32	33.45145736735546
CUDI_CODE_REPRO	30	1560	gene:Os01g0347500	gene:Os01g0347500	1	13838790	13839085	11	0.0014854035689495504	0.000778982119912704	22,395,21	215.64090521049107
CUDI_CODE_REPRO	31	1231	gene:Os01g0273850	gene:Os01g0273850	1	9492587	9492992	3	0.0014661375898867846	0.0005004798675514415	40,53,27	13.0
CUDI_CODE_REPRO	32	1232	gene:Os01g0273900	gene:Os01g0273900	1	9495603	9502985	3	0.0014620674968076248	0.0004977174358473701	41,54,29	12.503332889007368
CUDI_CODE_REPRO	33	710	gene:Os01g0195700	OsbHLH027	1	5148879	5149201	2	0.00144575338345021	0.00033274682002284214	32,18,49	15.524174696260024
CUDI_CODE_REPRO	34	1691	gene:Os01g0382400	OsPR1#012	1	15958748	15959497	2	0.00144488294608891	0.00029302338621593456	46,8,43	21.1266025033211
CUDI_CODE_REPRO	35	711	gene:Os01g0195801	OsbHLH027	1	5149335	5150341	4	0.001432507725742956	0.0005448836474014892	25,111,38	46.357307945997036
CUDI_CODE_REPRO	36	1975	gene:Os01g0553400	OsFbox017	1	20805805	20810162	1	0.0014210321436015267	0.0004081567201667729	37,38,44	3.7859388972001824
CUDI_CODE_REPRO	37	1318	gene:Os01g0288200	gene:Os01g0288200	1	10369936	10370578	2	0.0014145139915247758	0.0002973621232652889	48,12,45	19.974984355438178
CUDI_CODE_REPRO	38	224	gene:Os01g0128300	MHZ4	1	1569644	1570940	5	0.0014054391843577225	0.0005327499194764436	110,6,23	55.788290288673785
CUDI_CODE_REPRO	39	1561	gene:Os01g0347600	gene:Os01g0347600	1	13842272	13843744	14	0.0013873021816834807	0.000631806968559091	30,270,33	137.706209010342
CUDI_CODE_REPRO	40	1086	gene:Os01g0249300	P0434D08.2-1	1	8212469	8215133	2	0.001382667668318997	0.00044515800423571786	49,61,37	12.0
CUDI_CODE_REPRO	41	1837	gene:Os01g0520600	gene:Os01g0520600	1	18531902	18540738	7	0.001365858983869354	0.0004820633607420678	89,19,28	38.083242158898884
CUDI_CODE_REPRO	42	297	gene:Os01g0137500	OsRLCK22	1	2014791	2018248	4	0.0013593355348954599	0.00032401147744522677	53,23,48	16.072751268321593
CUDI_CODE_REPRO	43	1638	gene:Os01g0367300	gene:Os01g0367300	1	15007028	15013275	1	0.001357315166387707	0.00047044619550492753	31,108,52	39.80368492154129
CUDI_CODE_REPRO	44	1462	gene:Os01g0320400	gene:Os01g0320400	1	12203402	12204078	7	0.0013536429226708908	0.000607881806993078	36,278,36	139.71876514388944
CUDI_CODE_REPRO	45	1115	gene:Os01g0254200	gene:Os01g0254200	1	8444463	8447053	3	0.0013459859571109216	0.00044405988011976907	72,35,34	21.656407827707714
CUDI_CODE_REPRO	46	1412	gene:Os01g0308700	gene:Os01g0308700	1	11549976	11550801	4	0.001342026167549193	0.000408778938030502	61,47,39	11.135528725660043
CUDI_CODE_REPRO	47	1129	gene:Os01g0256600	gene:Os01g0256600	1	8555289	8557146	1	0.0013199135234269004	0.0003736912376221292	35,67,64	17.67295485574875
CUDI_CODE_REPRO	48	1697	gene:Os01g0383100	OsEXO70FX7	1	16000688	16003329	2	0.0013182911400993664	0.00034626169900943817	57,41,51	8.082903768654761
CUDI_CODE_REPRO	49	1253	gene:Os01g0276600	OsSTA11	1	9690348	9692094	1	0.001317962829489261	0.00041023014971556734	24,60,80	28.37839553839035
CUDI_CODE_REPRO	50	1695	gene:Os01g0382900	gene:Os01g0382900	1	15992759	15996844	2	0.0013016882197310526	0.00023874807693713128	80,7,54	37.0
CUDI_CODE_REPRO	51	118	gene:Os01g0114100	OsRLCK5	1	767181	769673	1	0.0012975956390922268	0.0003001244415813384	38,33,73	21.79449471770337
CUDI_CODE_REPRO	52	120	gene:Os01g0114300	OsRLCK6	1	770332	773829	1	0.0012866669373276334	0.0002964693574796963	39,36,74	21.1266025033211
CUDI_CODE_REPRO	53	119	gene:Os01g0114200	gene:Os01g0114200	1	770284	774374	1	0.0012723441856602828	0.0002922329246364766	42,39,77	21.1266025033211
CUDI_CODE_REPRO	54	1693	gene:Os01g0382500	gene:Os01g0382500	1	15966105	15967644	2	0.0012679593831611176	0.00040933998278028244	121,9,41	57.688820407423826
CUDI_CODE_REPRO	55	1613	gene:Os01g0358800	gene:Os01g0358800	1	14544114	14544749	3	0.0012626285121465723	0.0004061999275563818	50,117,55	37.322915213043046
CUDI_CODE_REPRO	56	1614	gene:Os01g0358900	gene:Os01g0358900	1	14545123	14545507	3	0.0012587060530980427	0.00040204635929207947	51,116,56	36.17089069035117
CUDI_CODE_REPRO	57	121	gene:Os01g0114400	OsRLCK7	1	774727	775743	1	0.0012559672080290814	0.0002852649663240977	44,42,82	22.538855339169288
CUDI_CODE_REPRO	58	122	gene:Os01g0114402	gene:Os01g0114402	1	774848	779158	1	0.001251327358962347	0.00028022434180442784	45,40,85	24.664414311581236
CUDI_CODE_REPRO	59	1734	gene:Os01g0495200	OsTBL25	1	16928574	16929545	3	0.0012467647126565378	0.0003718516862089127	56,103,57	26.851443164195103
CUDI_CODE_REPRO	60	136	gene:Os01g0116250	gene:Os01g0116250	1	911978	914143	4	0.0012420629888462524	0.00028194098724423694	67,45,59	11.135528725660043
CUDI_CODE_REPRO	61	1109	gene:Os01g0253500	gene:Os01g0253500	1	8394453	8395607	2	0.001240216486621648	0.00034979316563778446	73,68,53	10.408329997330664
CUDI_CODE_REPRO	62	1304	gene:Os01g0284900	OSJNBa0004B13.24	1	10200477	10203472	2	0.0012325139250606298	0.0003607346736861635	115,15,50	50.7444578254611
CUDI_CODE_REPRO	63	2038	gene:Os01g0569800	gene:Os01g0569800	1	21831960	21835149	1	0.0012275611322062712	0.0004347233600414433	27,129,94	51.829849829353485
CUDI_CODE_REPRO	64	1637	gene:Os01g0367100	PHD1	1	14993204	14998103	1	0.0012274233740754426	0.00029214917708932884	43,50,99	30.512292604784715
CUDI_CODE_REPRO	65	2039	gene:Os01g0568400	gene:Os01g0568400	1	21837626	21839347	1	0.0012244515431423981	0.00043584369796037737	26,131,98	53.693575034635195
CUDI_CODE_REPRO	66	353	gene:Os01g0146600	gene:Os01g0146600	1	2530890	2531390	4	0.0012180920651492972	0.00045276818190524693	79,128,47	40.796241656963126
CUDI_CODE_REPRO	67	152	gene:Os01g0117650	gene:Os01g0117650	1	994955	997150	5	0.001208120200317353	0.00047556130058368093	127,56,40	46.30694692304096
CUDI_CODE_REPRO	68	1907	gene:Os01g0536200	gene:Os01g0536200	1	19488074	19488533	1	0.0012025281709308426	0.00045187802895802143	28,163,104	67.67815994346576
CUDI_CODE_REPRO	69	151	gene:Os01g0117600	gene:Os01g0117600	1	994712	997262	5	0.0011978848682095606	0.00046015897437166534	128,55,42	46.357307945997036
CUDI_CODE_REPRO	70	1158	gene:Os01g0262500	gene:Os01g0262500	1	8883493	8885388	2	0.0011933586404969294	0.0002061497269968507	99,11,66	44.45597072760118
CUDI_CODE_REPRO	71	1051	gene:Os01g0243700	gene:Os01g0243700	1	7928090	7929762	3	0.0011662633235876758	0.0002362998680778632	98,27,65	35.529330606322056
CUDI_CODE_REPRO	72	1581	gene:Os01g0352200	gene:Os01g0352200	1	14102045	14102764	5	0.0011531304141196113	0.0003008918694960008	102,52,60	26.857649437978246
CUDI_CODE_REPRO	73	1254	gene:Os01g0276700	gene:Os01g0276700	1	9694027	9699817	2	0.0011443861682588856	0.0002422487625408922	112,22,68	45.00370355130046
CUDI_CODE_REPRO	74	1159	gene:Os01g0262600	OsGT1	1	8885632	8892462	1	0.0011344396819670994	0.00024446135113621154	66,92,86	13.613718571108091
CUDI_CODE_REPRO	75	1053	gene:Os01g0243901	gene:Os01g0243901	1	7942924	7943837	2	0.0011211748351342976	0.00026389702280336073	86,91,72	9.848857801796104
CUDI_CODE_REPRO	76	311	gene:Os01g0139000	gene:Os01g0139000	1	2080112	2081303	4	0.0011176981497555971	0.000251085444773147	101,58,70	22.18858565419016
CUDI_CODE_REPRO	77	614	gene:Os01g0181033	gene:Os01g0181033	1	4274611	4274976	3	0.001113339657119165	0.000229924297581526	88,80,76	6.110100926607786
CUDI_CODE_REPRO	78	1550	gene:Os01g0343500	gene:Os01g0343500	1	13582038	13584915	7	0.0011096606031060219	0.00032803394937122815	114,86,63	25.540817005987364
CUDI_CODE_REPRO	79	1551	gene:Os01g0343780	gene:Os01g0343780	1	13584186	13584856	7	0.0011096330514798562	0.0003299199898691689	116,87,62	27.02468007827906
CUDI_CODE_REPRO	80	1123	gene:Os01g0255000	gene:Os01g0255000	1	8486578	8489618	3	0.0011010453066167731	0.00034336154142448774	126,84,61	32.95957119462165
CUDI_CODE_REPRO	81	1339	gene:Os01g0293501	gene:Os01g0293501	1	10691672	10692073	4	0.0010993098840117455	0.00026494926527797645	83,107,75	16.653327995729065
CUDI_CODE_REPRO	82	102	gene:Os01g0112600	gene:Os01g0112600	1	677029	677602	3	0.001096916520812859	0.0002403952320989849	75,104,90	14.502873278538061
CUDI_CODE_REPRO	83	977	gene:Os01g0233400	gene:Os01g0233400	1	7385895	7388164	3	0.0010945484779464703	0.00028463979760528395	74,144,84	37.859388972001824
CUDI_CODE_REPRO	84	1552	gene:Os01g0346250	gene:Os01g0346250	1	13770746	13772078	5	0.001090826156238715	0.0003061720137027217	70,174,83	56.66568626602876
CUDI_CODE_REPRO	85	298	gene:Os01g0137550	gene:Os01g0137550	1	2015899	2018829	5	0.0010901631709809105	0.00021660602964383322	95,79,79	9.237604307034013
CUDI_CODE_REPRO	86	1089	gene:Os01g0249900	gene:Os01g0249900	1	8234625	8235833	3	0.0010836230164083342	0.00021230027795804228	78,96,97	10.692676621563628
CUDI_CODE_REPRO	87	190	gene:Os01g0124401	RBBI3-3	1	1353705	1354767	8	0.0010783652930210035	0.00022113695570988504	135,24,78	55.50675634551167
CUDI_CODE_REPRO	88	730	gene:Os01g0198702	gene:Os01g0198702	1	5361440	5362677	4	0.001078050467185676	0.00039616426111037525	212,34,58	96.58847412260603
CUDI_CODE_REPRO	89	184	gene:Os01g0123700	gene:Os01g0123700	1	1333752	1334769	3	0.001074139028787613	0.00012719016131097107	119,21,101	52.16640042530569
CUDI_CODE_REPRO	90	1052	gene:Os01g0243800	gene:Os01g0243800	1	7932090	7933689	4	0.0010718391276896	0.00032044347093431667	113,113,67	26.558112382722783
CUDI_CODE_REPRO	91	1696	gene:Os01g0383001	gene:Os01g0383001	1	15997945	15998841	1	0.0010704814145962398	0.0003510702424003904	47,155,149	60.69596362197407
CUDI_CODE_REPRO	92	1914	gene:Os01g0540400	gene:Os01g0540400	1	19855213	19856657	4	0.0010654322686605155	0.0002183254117499532	81,106,95	12.529964086141668
CUDI_CODE_REPRO	93	1913	gene:Os01g0540300	gene:Os01g0540300	1	19853580	19854168	4	0.0010609582338171701	0.00021334404174307392	82,105,100	12.096831541082702
CUDI_CODE_REPRO	94	1516	gene:Os01g0335700	gene:Os01g0335700	1	13142060	13144941	23	0.0010582855708586674	0.0003167108196890382	59,192,125	66.5006265634643
CUDI_CODE_REPRO	95	150	gene:Os01g0117500	gene:Os01g0117500	1	987676	990745	1	0.0010564238376294572	0.00022579648992040714	62,70,161	54.9939390599849
CUDI_CODE_REPRO	96	299	gene:Os01g0137700	gene:Os01g0137700	1	2023879	2026177	5	0.0010516284382902086	0.00019969699347949235	103,85,87	9.865765724632496
CUDI_CODE_REPRO	97	1351	gene:Os01g0296900	gene:Os01g0296900	1	10877446	10878567	1	0.001046760065946728	0.00028235866802622155	58,124,150	47.42713709821977
CUDI_CODE_REPRO	98	1911	gene:Os01g0536501	gene:Os01g0536501	1	19516756	19518873	6	0.0010440782643854618	0.00016976323901228275	124,44,93	40.33608806019741
CUDI_CODE_REPRO	99	148	gene:Os01g0117400	OsRLCK18	1	984510	985133	1	0.0010418763849884272	0.00021034039785035547	64,66,165	57.74368652357878
CUDI_CODE_REPRO	100	149	gene:Os01g0117450	gene:Os01g0117450	1	984536	986741	1	0.0010404637626682718	0.0002153503689695003	63,71,166	57.29746940310715
CUDI_CODE_REPRO	101	1332	gene:Os01g0291733	gene:Os01g0291733	1	10561594	10565100	5	0.0010390789442074795	0.0003183000723024888	153,89,69	43.87862045841156
CUDI_CODE_REPRO	102	147	gene:Os01g0117300	OsRLCK17	1	979238	980546	1	0.0010337025742046535	0.00020484688276923115	68,65,172	60.92892033618627
CUDI_CODE_REPRO	103	1331	gene:Os01g0291500	OsAT4	1	10561330	10565325	5	0.001031378497524808	0.0003126836131438715	159,90,71	46.30694692304097
CUDI_CODE_REPRO	104	135	gene:Os01g0116200	OsRLCK13	1	911735	914246	5	0.0010273862668933968	0.00024253813608991493	161,49,81	57.688820407423826
CUDI_CODE_REPRO	105	207	gene:Os01g0126401	gene:Os01g0126401	1	1445541	1449450	2	0.001023605155448119	9.222356053995938e-05	109,46,116	38.552993831002716
CUDI_CODE_REPRO	106	208	gene:Os01g0126600	OsFDML2	1	1446849	1450473	2	0.0010211740736849606	8.7184963414381e-05	108,48,118	37.859388972001824
CUDI_CODE_REPRO	107	1700	gene:Os01g0384300	OSJNBb0093M23.7	1	16086670	16088900	4	0.0010145627117405336	0.00026280923646963605	85,203,105	63.150613615387776
CUDI_CODE_REPRO	108	49	gene:Os01g0105900	gene:Os01g0105900	1	309520	313170	13	0.0010138409755503137	0.00021331844645849465	137,78,88	31.575306807693888
CUDI_CODE_REPRO	109	1155	gene:Os01g0261700	gene:Os01g0261700	1	8821136	8822609	1	0.0010026558496368427	0.0003043463870864236	60,142,189	65.28654787422394
CUDI_CODE_REPRO	110	1018	gene:Os01g0238287	gene:Os01g0238287	1	7656089	7656431	2	0.0009926276397891343	0.00025345410975894734	77,204,134	63.61079572944622
CUDI_CODE_REPRO	111	1139	gene:Os01g0258700	OsC3H6	1	8659413	8664796	3	0.0009911332939130564	0.00013756021071551896	92,99,140	25.92939130279254
CUDI_CODE_REPRO	112	1138	gene:Os01g0258600	DPL1	1	8657066	8658466	3	0.000985655215724061	0.00013364758164148818	91,98,142	27.64657905299195
CUDI_CODE_REPRO	113	1988	gene:Os01g0557100	gene:Os01g0557100	1	21056832	21058033	4	0.0009837483521550894	0.00022056643069289636	100,173,110	39.576929306520654
CUDI_CODE_REPRO	114	1411	gene:Os01g0308600	gene:Os01g0308600	1	11544302	11545430	5	0.000980061071459204	0.00022384938715580517	138,110,96	21.385353243127255
CUDI_CODE_REPRO	115	2016	gene:Os01g0561950	gene:Os01g0561950	1	21362091	21362898	15	0.0009765241023463508	0.00027219127695776306	87,280,114	104.50996762669737
CUDI_CODE_REPRO	116	1681	gene:Os01g0377000	gene:Os01g0377000	1	15581833	15583686	1	0.000974431672754387	0.0003638542321812296	55,172,243	94.93330992509075
CUDI_CODE_REPRO	117	1317	gene:Os01g0287900	gene:Os01g0287900	1	10366413	10366924	3	0.0009714096086099744	0.00013067734840704166	134,74,117	30.924639582917266
CUDI_CODE_REPRO	118	1692	gene:Os01g0382450	gene:Os01g0382450	1	15960361	15962152	3	0.0009706869993048409	0.00016900346736327485	97,138,130	21.73323108360405
CUDI_CODE_REPRO	119	1612	gene:Os01g0358700	gene:Os01g0358700	1	14529887	14531604	10	0.0009702819321925441	0.000351203927491729	96,470,91	217.3867521262508
CUDI_CODE_REPRO	120	1327	gene:Os01g0290100	gene:Os01g0290100	1	10496869	10500943	10	0.0009699264774098992	0.0002551208367734308	107,236,103	75.65932416651191
CUDI_CODE_REPRO	121	284	gene:Os01g0136502	gene:Os01g0136502	1	1966504	1967491	11	0.0009692126962666711	0.000146000838872499	172,30,123	72.12720245048558
