symbol	gene_id	trait_family	source	trait	rank	attention_mean	in_exported_gene_set	chromosome	start	end
SD1	gene:Os01g0883800	plant height / semidwarf	RAP-DB search result: Os01g0883800 Gibberellin (GA) 20 oxidase 2	CUDI_CODE_REPRO	not_in_first_2048_genes		False	1	38382385	38385469
SD1	gene:Os01g0883800	plant height / semidwarf	RAP-DB search result: Os01g0883800 Gibberellin (GA) 20 oxidase 2	CULT_CODE_REPRO	not_in_first_2048_genes		False	1	38382385	38385469
SD1	gene:Os01g0883800	plant height / semidwarf	RAP-DB search result: Os01g0883800 Gibberellin (GA) 20 oxidase 2	CUNO_CODE_REPRO	not_in_first_2048_genes		False	1	38382385	38385469
SD1	gene:Os01g0883800	plant height / semidwarf	RAP-DB search result: Os01g0883800 Gibberellin (GA) 20 oxidase 2	LLT_CODE	not_in_first_2048_genes		False	1	38382385	38385469
SD1	gene:Os01g0883800	plant height / semidwarf	RAP-DB search result: Os01g0883800 Gibberellin (GA) 20 oxidase 2	PLT_CODE_POST	not_in_first_2048_genes		False	1	38382385	38385469
SD1	gene:Os01g0883800	plant height / semidwarf	RAP-DB search result: Os01g0883800 Gibberellin (GA) 20 oxidase 2	SDHT_CODE	not_in_first_2048_genes		False	1	38382385	38385469
SD1	gene:Os01g0883800	plant height / semidwarf	RAP-DB search result: Os01g0883800 Gibberellin (GA) 20 oxidase 2	PTH	not_in_first_2048_genes		False	1	38382385	38385469
SD1	gene:Os01g0883800	plant height / semidwarf	RAP-DB search result: Os01g0883800 Gibberellin (GA) 20 oxidase 2	SPKF	not_in_first_2048_genes		False	1	38382385	38385469
SD1	gene:Os01g0883800	plant height / semidwarf	RAP-DB search result: Os01g0883800 Gibberellin (GA) 20 oxidase 2	CUST_REPRO	not_in_first_2048_genes		False	1	38382385	38385469
SD1	gene:Os01g0883800	plant height / semidwarf	RAP-DB search result: Os01g0883800 Gibberellin (GA) 20 oxidase 2	PSH	not_in_first_2048_genes		False	1	38382385	38385469
Gn1a	gene:Os01g0197700	grain number / panicle architecture	commonly cited rice cytokinin oxidase/dehydrogenase yield gene; verify before submission	CUDI_CODE_REPRO	190	0.0007951556472107768	True	1	5270449	5275585
Gn1a	gene:Os01g0197700	grain number / panicle architecture	commonly cited rice cytokinin oxidase/dehydrogenase yield gene; verify before submission	CULT_CODE_REPRO	658	0.0005178995779715478	True	1	5270449	5275585
Gn1a	gene:Os01g0197700	grain number / panicle architecture	commonly cited rice cytokinin oxidase/dehydrogenase yield gene; verify before submission	CUNO_CODE_REPRO	91	0.0008556943503208458	True	1	5270449	5275585
Gn1a	gene:Os01g0197700	grain number / panicle architecture	commonly cited rice cytokinin oxidase/dehydrogenase yield gene; verify before submission	LLT_CODE	3	0.0016682952409610152	True	1	5270449	5275585
Gn1a	gene:Os01g0197700	grain number / panicle architecture	commonly cited rice cytokinin oxidase/dehydrogenase yield gene; verify before submission	PLT_CODE_POST	34	0.0012497429270297289	True	1	5270449	5275585
Gn1a	gene:Os01g0197700	grain number / panicle architecture	commonly cited rice cytokinin oxidase/dehydrogenase yield gene; verify before submission	SDHT_CODE	50	0.0011272103292867541	True	1	5270449	5275585
Gn1a	gene:Os01g0197700	grain number / panicle architecture	commonly cited rice cytokinin oxidase/dehydrogenase yield gene; verify before submission	PTH	119	0.0006917085265740752	True	1	5270449	5275585
Gn1a	gene:Os01g0197700	grain number / panicle architecture	commonly cited rice cytokinin oxidase/dehydrogenase yield gene; verify before submission	SPKF	472	0.0005230389651842415	True	1	5270449	5275585
Gn1a	gene:Os01g0197700	grain number / panicle architecture	commonly cited rice cytokinin oxidase/dehydrogenase yield gene; verify before submission	CUST_REPRO	144	0.0007393580744974315	True	1	5270449	5275585
Gn1a	gene:Os01g0197700	grain number / panicle architecture	commonly cited rice cytokinin oxidase/dehydrogenase yield gene; verify before submission	PSH	21	0.0026408168487250805	True	1	5270449	5275585
GS3	gene:Os03g0407400	grain size	funplantgenes search result: GS3 controls grain size	CUDI_CODE_REPRO	not_in_first_2048_genes		False	3	16729501	16735109
GS3	gene:Os03g0407400	grain size	funplantgenes search result: GS3 controls grain size	CULT_CODE_REPRO	not_in_first_2048_genes		False	3	16729501	16735109
GS3	gene:Os03g0407400	grain size	funplantgenes search result: GS3 controls grain size	CUNO_CODE_REPRO	not_in_first_2048_genes		False	3	16729501	16735109
GS3	gene:Os03g0407400	grain size	funplantgenes search result: GS3 controls grain size	LLT_CODE	not_in_first_2048_genes		False	3	16729501	16735109
GS3	gene:Os03g0407400	grain size	funplantgenes search result: GS3 controls grain size	PLT_CODE_POST	not_in_first_2048_genes		False	3	16729501	16735109
GS3	gene:Os03g0407400	grain size	funplantgenes search result: GS3 controls grain size	SDHT_CODE	not_in_first_2048_genes		False	3	16729501	16735109
GS3	gene:Os03g0407400	grain size	funplantgenes search result: GS3 controls grain size	PTH	not_in_first_2048_genes		False	3	16729501	16735109
GS3	gene:Os03g0407400	grain size	funplantgenes search result: GS3 controls grain size	SPKF	not_in_first_2048_genes		False	3	16729501	16735109
GS3	gene:Os03g0407400	grain size	funplantgenes search result: GS3 controls grain size	CUST_REPRO	not_in_first_2048_genes		False	3	16729501	16735109
GS3	gene:Os03g0407400	grain size	funplantgenes search result: GS3 controls grain size	PSH	not_in_first_2048_genes		False	3	16729501	16735109
GW2	gene:Os02g0244100	grain width/weight	curated from rice grain size literature; verify before submission	CUDI_CODE_REPRO	not_in_first_2048_genes		False	2	8115223	8121651
GW2	gene:Os02g0244100	grain width/weight	curated from rice grain size literature; verify before submission	CULT_CODE_REPRO	not_in_first_2048_genes		False	2	8115223	8121651
GW2	gene:Os02g0244100	grain width/weight	curated from rice grain size literature; verify before submission	CUNO_CODE_REPRO	not_in_first_2048_genes		False	2	8115223	8121651
GW2	gene:Os02g0244100	grain width/weight	curated from rice grain size literature; verify before submission	LLT_CODE	not_in_first_2048_genes		False	2	8115223	8121651
GW2	gene:Os02g0244100	grain width/weight	curated from rice grain size literature; verify before submission	PLT_CODE_POST	not_in_first_2048_genes		False	2	8115223	8121651
GW2	gene:Os02g0244100	grain width/weight	curated from rice grain size literature; verify before submission	SDHT_CODE	not_in_first_2048_genes		False	2	8115223	8121651
GW2	gene:Os02g0244100	grain width/weight	curated from rice grain size literature; verify before submission	PTH	not_in_first_2048_genes		False	2	8115223	8121651
GW2	gene:Os02g0244100	grain width/weight	curated from rice grain size literature; verify before submission	SPKF	not_in_first_2048_genes		False	2	8115223	8121651
GW2	gene:Os02g0244100	grain width/weight	curated from rice grain size literature; verify before submission	CUST_REPRO	not_in_first_2048_genes		False	2	8115223	8121651
GW2	gene:Os02g0244100	grain width/weight	curated from rice grain size literature; verify before submission	PSH	not_in_first_2048_genes		False	2	8115223	8121651
