trait,rank,gene_index,gene_id,gene_name,chromosome,start,end,n_snps,attention_mean,attention_sd,seed_ranks,rank_sd,trait_short,gene_label
CUDI_CODE_REPRO,1,471,gene:Os01g0161000,gene:Os01g0161000,1,3201220,3204252,1,0.00340647355187684,0.00166685327716388,111,0,CUDI,Os01g0161000
CUDI_CODE_REPRO,2,953,gene:Os01g0229800,gene:Os01g0229800,1,7186356,7186820,1,0.00231792005555083,0.00112891657051137,2203,10.11599393699568,CUDI,Os01g0229800
CUDI_CODE_REPRO,3,2020,gene:Os01g0564950,gene:Os01g0564950,1,21603411,21604622,1,0.00220468120339016,0.00117554529327827,3512,28.00595174839329,CUDI,Os01g0564950
CUDI_CODE_REPRO,4,1143,gene:Os01g0259900,SAD1L,1,8718704,8720961,2,0.00212681118864566,9.9419879322161e-4,7165,5.8594652770823155,CUDI,SAD1L
CUDI_CODE_REPRO,5,2018,gene:Os01g0563700,gene:Os01g0563700,1,21444283,21449074,1,0.00210952537599951,0.00101275679848034,5287,12.741009902410928,CUDI,Os01g0563700
CUDI_CODE_REPRO,6,2019,gene:Os01g0563500,gene:Os01g0563500,1,21447489,21450077,1,0.00209106318652629,9.9323437238811e-4,6299,12.503332889007368,CUDI,Os01g0563500
CUDI_CODE_REPRO,7,480,gene:Os01g0163450,gene:Os01g0163450,1,3291241,3293494,4,0.00202848164675136,8.7958409720298e-4,2146,9.291573243177568,CUDI,Os01g0163450
CUDI_CODE_REPRO,8,1517,gene:Os01g0336300,gene:Os01g0336300,1,13170797,13171929,3,0.00200705779328321,0.00102233657027015,11578,27.46512940681935,CUDI,Os01g0336300
CUDI_CODE_REPRO,9,468,gene:Os01g0160200,gene:Os01g0160200,1,3143601,3146812,1,0.0019849866706257,9.5970961287887e-4,47510,39.3742724800514,CUDI,Os01g0160200
CUDI_CODE_REPRO,10,894,gene:Os01g0222900,gene:Os01g0222900,1,6715521,6716305,7,0.00194188808867086,9.8980566453899e-4,5234,28.00595174839329,CUDI,Os01g0222900
CUDI_CODE_REPRO,11,1924,gene:Os01g0543600,gene:Os01g0543600,1,20124194,20126848,3,0.00174878549296408,5.9137679294451e-4,91422,6.557438524302,CUDI,Os01g0543600
CUDI_CODE_REPRO,12,1584,gene:Os01g0353600,gene:Os01g0353600,1,14171226,14175788,3,0.00174426772476484,5.5235210411413e-4,141017,3.511884584284246,CUDI,Os01g0353600
